field7,field8,error_code
REDIRECT,"INVALID_REQUEST | Value '401602xxxxxx0643' is invalid. The combination of currency, card type and transaction type is not supported by a Merchant Acquirer relationship",E202      
AUCNEGATIVE,901 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E1633     
AUCNEGATIVE,,E501      
3DS_METHOD_POSITIVE,Blc|0 | Blc|SUCCESS,E1206     
,FILTERED_FOR_AXIS_WIBMO_ONUS ,E803      
REDIRECT,DECLINED (exceeds frequency),E1703     
ACS_REDIRECT,CURL_CALL_FAILURE,E214      
ACS_REDIRECT,,E4165     
AUCNEGATIVE,Transaction ID received is not valid for the receiving component.,E500      
REDIRECT,Transactions declined by Issuer based on Risk Score,E1703     
REDIRECT,62 | Restricted card,E1206     
,Ibibo Code ICICI is not currently active on merchant,E6010     
,Mandatory Param Missing trmerchantid,E4510     
AUCNEGATIVE,No Error,E1608     
ACS_REDIRECT,Invalid Otp,E340      
,Lost card,E1703     
AUCNEGATIVE,05 | Do not honor,E307      
REDIRECT,bhim,E501      
3DS_CHALLENGE_NEGATIVE,"914 | Blc|Authentication/Account Verification Could Not Be Performed; Technical or other problem, as indicated in ARes or RReq.",E317      
REDIRECT,DECLINED (Exceeds withdrawal amount limit),E1703     
AUCNEGATIVE,|,E501      
AUCNEGATIVE,62 | Restricted card,E1626     
REDIRECT,DECLINED (stolen),E1703     
AUCNEGATIVE,201,E335      
AUCNEGATIVE,0 | ,E330      
AUCNEGATIVE,909 | INVALID_TRANSACTION_TYPE,E207      
EVNEGATIVE,918 | Very High confidence,E335      
AUCPOSITIVE,,failed    
AUCNEGATIVE,Account number not validated,E500      
,Invalid CardNumber/Token/AltId or ibibo_code,E1101     
ACS_REDIRECT,,E1601     
,Rupay communication error,E1703     
REDIRECT,phonepe,E501      
AUCNEGATIVE,404 | Permanent System Failure,E335      
EVNEGATIVE,93 | ,E500      
,FILTERED_DOMESTIC_PGS FILTERED_DOMESTIC_PGS ,E804      
EVNEGATIVE,10024 | Bad cvd2 passed!,E1101     
EVPOSITIVE,,E2101     
REDIRECT,N:05:Do not honour,E1206     
REDIRECT,Issuer Compliance,E1703     
ACS_REDIRECT,NON SUFFICIENT FUNDS,E1703     
ACS_REDIRECT,phonepe,E501      
3DS_METHOD_POSITIVE,No Error,E000      
EVNEGATIVE,IER | Unknown Host,E1905     
REDIRECT,P9 | Enter lesser amount,E1206     
3DS_METHOD_POSITIVE,UNKNOWN_ERROR,E502      
EVPOSITIVE,,SSER001   
,Ibibo Code MAES is not currently active on merchant,E6010     
3DS_CHALLENGE_NEGATIVE,922 | ACS technical issue,E202      
AUCNEGATIVE,Blc|0 | Blc|SUCCESS,E317      
AUCPOSITIVE,Marking transaction as dropped - CS,E231      
EVPOSITIVE,05 | Do not honor,E307      
REDIRECT,P9 | Enter lesser amount,E231      
AUCNEGATIVE,57 | Transaction not permitted to cardholder,E1642     
REDIRECT,65 | Exceeds withdrawal count limit / Withdrawal count limit exceeded,E231      
REDIRECT,14 | Invalid card number,E231      
,Bad Track Data,E1703     
3DS_CHALLENGE_POSITIVE,UNKNOWN_ERROR,E231      
REDIRECT,googlepay,E501      
AUCNEGATIVE,306 | MCC,E207      
ACS_REDIRECT,GW00201 | Transaction not found,E1903     
AUCNEGATIVE,405 | System Connection Failure,E231      
AUCNEGATIVE,30054 | Transaction timed out,E207      
REDIRECT,91 | Issuer unavailable or switch inoperative,E231      
3DS_METHOD_POSITIVE,000 | Blc|SUCCESS,E502      
ACS_REDIRECT,paytm,E501      
ACS_REDIRECT,AUTHENTICATION_FAILED | Cardholder did not complete authentication,E207      
,,E1202     
REDIRECT,BIN is blocked,E1703     
AUCNEGATIVE,"AUTHENTICATION_MODE_MISSING | AuthenticationMode not received, please reachout to PayU Support.",E207      
REDIRECT,Application error,EX149     
VERERROR,Verification | failed | Transaction failed at bank end,E1903     
AUCNEGATIVE,?:waiting authentication,E1206     
,PG filtering based on Issuer Token supported PGs ,E803      
,Invalid amount,E1703     
3DS_CHALLENGE_NEGATIVE,902 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E317      
RNF,PG filtering based on KTB Bin Routing ,E804      
REDIRECT,93 | Transaction cannot be completed; violation of law,E231      
REDIRECT,Invalid BIN,E1703     
REDIRECT,N:ACCU600:Invalid data was posted to Issuer,E1206     
AUCINVALID,,E000      
AUCNEGATIVE,BEPG-0000017 | Issuer authentication failure,E231      
3DS_METHOD_NEGATIVE,Blc|204 | Blc|REQUEST_REJECTED::null,E204      
AUCNEGATIVE,Invalid Otp,E340      
AUCNEGATIVE,AUTHENTICATION_FAILED|UNKNOWN_ERROR,E501      
AUCNEGATIVE,101 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E317      
AUCNEGATIVE,0 | ,E308      
REDIRECT,N:52:No checking account,E231      
REDIRECT,N:59:DECLINED (fraud),E231      
3DS_METHOD_NEGATIVE,"Blc|204 | Blc|INVALID_REQUEST::Value '358759xxxxxx5940' is invalid. The combination of currency, card type and transaction type is not supported by a Merchant Acquirer relationship",E204      
AUCNEGATIVE,"405 | For example, the sending component is unable to  establish connection to the receiving component.",E207      
REDIRECT,,EA081     
ACS_REDIRECT,NOT_ENROLLED_FAILURE,E1302     
REDIRECT,ERROR,E1703     
AUCNEGATIVE,14 | Invalid card number,E231      
3DS_METHOD_POSITIVE,AUTHENTICATION_FAILED|UNKNOWN_ERROR,E501      
3DS_CHALLENGE_NEGATIVE,AUTHENTICATION_FAILED | Cardholder did not complete authentication | Unknown,E202      
REDIRECT,Rupay communication error,E1703     
ACS_REDIRECT,56 | No Card Record,E231      
3DS_CHALLENGE_NEGATIVE,87 | Bad Track Data,E335      
,Pick-up,E1703     
REDIRECT,61 | Exceeds withdrawal amount limit(s) / Withdrawal amount limit exc,E231      
REDIRECT,,E501      
MER_025|No Transaction exists with given merchant id : MER0000005118097,FILTERED_DOMESTIC_PGS ,E804      
404,,E346      
3DS_METHOD_NEGATIVE,"Blc|204 | Blc|INVALID_REQUEST::Value '354047xxxxxx1040' is invalid. The combination of currency, card type and transaction type is not supported by a Merchant Acquirer relationship",E204      
ACS_REDIRECT,0 | OTP Generated Successfully,E501      
AUCNEGATIVE,5111 | Transaction failed. ECI1 and ECI6 transactions are not supported by merchant.,E231      
AUCNEGATIVE,Authentication Failed,E1703     
3DS_METHOD_NEGATIVE,CTO | Network Connect Time Out,E1639     
ACS_REDIRECT,AUTHENTICATION_ATTEMPTS,E232      
REDIRECT,0 | ,E706      
3DS_METHOD_POSITIVE,googlepay,E501      
3DS_METHOD_POSITIVE,05 | Do not honor | Decline - General decline of the card. No other information provided by the issuing bank.,E000      
3DS_METHOD_NEGATIVE,"Blc|204 | Blc|INVALID_REQUEST::Value '354350xxxxxx8301' is invalid. The combination of currency, card type and transaction type is not supported by a Merchant Acquirer relationship",E204      
AUCINVALID,Blc|399 | Blc|APPLICATION_ERROR,E204      
AUCNEGATIVE,57 | Transaction not permitted to cardholder,E303      
AUCNEGATIVE,Message Received Invalid.,E500      
,N:51:NON SUFFICIENT FUNDS,E1206     
ACS_REDIRECT,User Pressed cancel button,E1703     
3DS_CHALLENGE_NEGATIVE,909 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E317      
EVPOSITIVE,GW00555 | UNKNOWN,E231      
REDIRECT,"INVALID_REQUEST | Value '439486xxxxxx8650' is invalid. The combination of currency, card type and transaction type is not supported by a Merchant Acquirer relationship",E202      
ACS_REDIRECT,AUTHENTICATION_FAILED | Cardholder did not complete authentication,E202      
ACS_REDIRECT, | ,E502      
AUCNEGATIVE,408 | Data element not in the required format or value is invalid as defined in Table A.1,E335      
,N:ACCU700:Session validation failed,E231      
REDIRECT,59 | Suspected fraud,E231      
REDIRECT,51 | Insufficient funds/over credit limit / Not sufficient funds,E1206     
ACS_REDIRECT,H | UNKNOWN,E1206     
REDIRECT,54 | Expired card,E311      
ACS_REDIRECT,Blc|0 | Blc|SUCCESS,E501      
,Mandatory Param Missing for Token txn ccexpmon,E4510     
REDIRECT,,E000      
EVNEGATIVE,NOT_ENROLLED_FAILURE,E1302     
404,FILTERED_DOMESTIC_PGS ,E803      
MER_025|No Transaction exists with given merchant id : MER0000005118097,FILTERED_DOMESTIC_PGS ,E803      
REDIRECT,H | UNKNOWN,E231      
AUCNEGATIVE,O8 | Do not retry,E303      
3DS_METHOD_NEGATIVE,Blc|204 | Blc|INVALID_REQUEST::Value '538952xxxxxx9037' is invalid. Invalid card number,E204      
EVERROR,50021 | Bad AcquiringBank configured for merchant_id(36413568) in pg_instance_id(37887779)!,E205      
ACS_REDIRECT,,EX149     
3DS_METHOD_POSITIVE,,E502      
REDIRECT,N:91:ERROR,E231      
ACS_REDIRECT,AUTHENTICATION_FAILED | Cardholder did not complete authentication | Transaction Error,E202      
AUCNEGATIVE,DECLINED (Exceeds withdrawal amount limit),E1703     
EVPOSITIVE,UNKNOWN_ERROR,E502      
REDIRECT,phonepe,E231      
AUCNEGATIVE,5102 | Transaction failed. ECI-7 transactions are not supported by merchant.,E303      
AUCNEGATIVE,201 | Required element missing,E335      
3DS_METHOD_NEGATIVE,IER | Unknown Host,E1905     
AUCNEGATIVE,Blc|202 | Blc|SERVER_FAILED::Please contact customer support quoting the support code.,E335      
ACS_REDIRECT,Allowable number of PIN tries exceeded,E1703     
3DS_METHOD_NEGATIVE,"INVALID_REQUEST | Value '559530xxxxxx6925' is invalid. The combination of currency, card type and transaction type is not supported by a Merchant Acquirer relationship",E501      
EVPOSITIVE,0 | OTP Generated Successfully,E1206     
ACS_REDIRECT,12 | Invalid transaction,E1206     
ACS_REDIRECT,65 | Exceeds withdrawal count limit / Withdrawal count limit exceeded,E1206     
ACS_REDIRECT,,E1610     
REDIRECT,N:-30052:Communication Error,E231      
3DS_CHALLENGE_NEGATIVE,912 | Transaction not permitted to cardholder,E231      
AUCNEGATIVE,N0 | Unable to authorize,E303      
AUCNEGATIVE,10004 | Invalid response from npci,E1617     
REDIRECT,N:ACCU700:Session validation failed,E231      
3DS_METHOD_POSITIVE,51 | Insufficient funds/over credit limit / Not sufficient funds,E706      
REDIRECT,N:-BEPG-0000006:Rupay check bin error,E1206     
AUCNEGATIVE,403 | Transient System Failure,E335      
ACS_REDIRECT,,E340      
,SYSTEM ERROR,E1703     
REDIRECT,UNKNOWN_ERROR,E1601     
,N:ACCU400:User was Inactive,E1206     
ACS_REDIRECT,Session expired for this transaction,E1703     
EVERROR,10004 | Internal server error in card info service,E1617     
3DS_METHOD_NEGATIVE,Blc|204 | Blc|INVALID_REQUEST::Value '547189xxxxxx4914' is invalid. Invalid card number,E204      
3DS_CHALLENGE_NEGATIVE,908 | No Card record,E231      
3DS_METHOD_NEGATIVE,Invalid Otp,E316      
3DS_METHOD_NEGATIVE,Blc|204 | Blc|Retrying due to IO Error at server,E204      
AUCNEGATIVE,405 | System connection failure.,E335      
3DS_METHOD_NEGATIVE,Blc|204 | Blc|INVALID_REQUEST::Value '567890xxxxxx8901' is invalid. Invalid card number,E204      
REDIRECT,55 | Invalid PIN,E710      
ACS_REDIRECT,Message Received Invalid,E500      
,,E000      
,,E307      
AUCERROR,|,E501      
3DS_CHALLENGE_NEGATIVE,PG_FAILED | Unable to parse authentication response,E219      
,Ibibo Code CC is not currently active on merchant,E6010     
ACS_REDIRECT,0 | ,E502      
3DS_CHALLENGE_NEGATIVE,AUTHENTICATION_FAILED | Cardholder did not complete authentication | Cardholder selected Cancel,E202      
AUCNEGATIVE,Element missing,E2502     
ACS_REDIRECT,GW00201 | Transaction not found,E231      
AUCNEGATIVE,908 | INVALID_TRANSACTION_TYPE,E207      
,,E903      
REDIRECT,0 | ,E502      
,Transaction cannot be completed,E1703     
,3D Secure authentication failed,E1703     
REDIRECT,Transaction cannot be completed,E1703     
AUCNEGATIVE,AUTHENTICATION_SUCCESSFUL|Transaction failed in Authorization,E308      
AUCNEGATIVE,908 | No Card record,E335      
,PG filtering based on Card SI PGs ,E803      
AUCNEGATIVE,12 | Transaction not permitted to cardholder,E1633     
EVERROR,50021 | XML Data Error - Invalid Parameter Value - ipaddress,E205      
ACS_REDIRECT,,E1206     
,Ibibo Code RUPAY is not currently active on merchant,E6010     
,Ibibo Code VISA is not currently active on merchant,E6010     
AUCNEGATIVE,19 | Exceeds ACS maximum challenges,E708      
,Disable pg down time handling on UI so marked as bounced.,E804      
EVNEGATIVE,96 | SYSTEM ERROR,E205      
3DS_CHALLENGE_NEGATIVE,AUTHENTICATION_FAILED | Cardholder did not complete authentication | Cardholder selected Cancel,E1633     
ALT_ID_PROV_ERROR,EA082|DPA entity data not found for the given clientId or dpaId in getDpaEntityData request.,EA082     
,REMOVED_HEADLESS_PGS ,E804      
3DS_VERIFICATION_NEGATIVE,Suspected fraud,E324      
,Bin used is blocked on platform,E6016     
AUCNEGATIVE,50822 | Processing error while provisioning Guest Checkout Token,E207      
AUCNEGATIVE,04 | Exceeds authentication frequency limit,E909      
REDIRECT,CA | Acquirer compliance,E231      
3DS_CHALLENGE_NEGATIVE,908 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E317      
REDIRECT,Validation problem,E1703     
3DS_CHALLENGE_NEGATIVE,911 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E317      
AUCNEGATIVE,Invalid Otp,E1206     
REDIRECT,Unable to get payer authentication,E1703     
REDIRECT,Exceeds withdrawal frequency limit,E1703     
3DS_CHALLENGE_NEGATIVE,TRANSACTION_INVALID,E202      
ALT_ID_PROV_ERROR,EA086|Not a mastercard or maestro,EA086     
AUCNEGATIVE,0 | ,E502      
AUCINVALID,0 | OTP Generated Successfully,E1601     
,DECLINED (cardholder not allowed),E1703     
AUCNEGATIVE,000 | Blc|SUCCESS,E317      
3DS_CHALLENGE_NEGATIVE,TRANSACTION_INVALID,E502      
ACS_REDIRECT,?:waiting authentication,E231      
EVERROR,10024 | Purpose of Authentication should not be Alt Id for International transactions!,E1101     
EVERROR,50021 | Bad Expiry year passed!,E205      
,DECLINED (lost card),E1703     
ACS_REDIRECT,Invalid Otp,E1602     
AUCNEGATIVE,Required element missing,E500      
REDIRECT,DECLINED (fraud),E1703     
3DS_METHOD_ERROR,,E214      
REDIRECT,UNKNOWN_ERROR,E1602     
,Mandatory Param Missing tavv,E1101     
AUCNEGATIVE,Blc|203 | Blc|result=FAILURE,E1633     
REDIRECT,SUCCESS,E1206     
3DS_METHOD_NEGATIVE,DAUTH | Transaction Declined By Payment Gateway.,E500      
AUCNEGATIVE,,E1302     
3DS_METHOD_POSITIVE,UNKNOWN_ERROR,E231      
3DS_CHALLENGE_NEGATIVE,919 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E317      
AUCNEGATIVE,Unkonwn Error.,E500      
REDIRECT,Invalid account,E1703     
3DS_METHOD_NEGATIVE,INVALID_REQUEST | Invalid credentials.,E202      
AUCNEGATIVE,BEPG-0000006 | Check BIN call failed,E207      
AUCNEGATIVE,07 | Invalid transaction,E207      
,Exceeds withdrawal frequency limit,E1703     
AUCNEGATIVE,202 | FAILURE::AUTHENTICATION_REJECTED,E1633     
REDIRECT,,E1205     
ACS_REDIRECT,GW00555 | UNKNOWN,E1206     
3DS_VERIFICATION_NEGATIVE,Exceeds authentication frequency limit,E909      
3DS_CHALLENGE_NEGATIVE,AUTHENTICATION_FAILED | Cardholder did not complete authentication | Transaction Timed out at ACS - First CReq not received by ACS,E202      
EVNEGATIVE,VERMCC04 | Validation Error-MCC MisMatched,E226      
Get_cryptogram_failure,Ibibo Code CC is not currently active on merchant,E4932     
REDIRECT,57 | Transaction not permitted to issuer/cardholder,E231      
3DS_CHALLENGE_ERROR,,E214      
AUCERROR,0 | ,E214      
ALT_ID_PROV_ERROR,EA03|Technical error. Please try again,EA03      
,Unable to authorize,E1703     
,Processing error while provisioning Guest Checkout Token,E1703     
ALT_ID_PROV_ERROR,EA080|GENERIC_ERROR,EA080     
,DECLINED (fraud),E1703     
,DECLINED (restricted card),E1703     
AUCNEGATIVE,82 | UNKNOWN,E500      
,Mandatory Param Missing last4digits,E4510     
ACS_REDIRECT,N:-BEPG-0000017:Issuer authentication failure,E1206     
ACS_REDIRECT,,E1205     
EVNEGATIVE,BNF | Bin Not Found,E4934     
3DS_METHOD_NEGATIVE,,E316      
3DS_METHOD_POSITIVE,UNKNOWN_ERROR,E1206     
REDIRECT,EXPIRED CARD,E1703     
AUCNEGATIVE,12 | Invalid transaction,E207      
REDIRECT,N:-5014:Validation problem,E231      
AUCERROR,E101,E335      
3DS_CHALLENGE_NEGATIVE,Blc|203 | Blc|result=FAILURE,E317      
AUCNEGATIVE,Transaction cannot be completed,E1703     
AUCNEGATIVE,305 | Transaction ID has already been received and processed.,E335      
ACS_REDIRECT,91 | Issuer unavailable or switch inoperative,E231      
REDIRECT,N:93:Transaction cannot be completed,E231      
,No checking account,E1703     
ACS_REDIRECT,H | UNKNOWN,E231      
ACS_REDIRECT,14 | Invalid card number,E231      
EVNEGATIVE,,E231      
AUCNEGATIVE,305 | If in response to an AReq message: Cardholder Account Number is not in a range belonging to Issuer.,E335      
AUCNEGATIVE,Transient system failure,E500      
3DS_CHALLENGE_NEGATIVE,907 | Invalid transaction,E202      
AUCPOSITIVE,,E1205     
ACS_REDIRECT,The order already exists in the database.,E1703     
,PG filtering for AMEX ,E803      
AUCNEGATIVE,14 | Invalid card number (no such number),E1632     
REDIRECT,0 | OTP Generated Successfully,E1205     
,FILTERED_FOR_MERCHANT_CURRENCY ,E804      
AUCNEGATIVE,Merchant Category Code (MCC) not valid for Payment System,E500      
,N:-30051:Communication Error,E231      
REDIRECT,N:-BEPG-0000013:Rupay transaction error,E231      
AUCNEGATIVE,903 | Unsupported Device,E335      
REDIRECT,Rupay transaction error,E1703     
,N:ACCU800:General exception,E231      
REDIRECT,SERVER_FAILED | Please contact customer support quoting the support code.,E214      
3DS_METHOD_NEGATIVE,SERVER_FAILED | Please contact customer support quoting the support code.,E501      
AUCPOSITIVE,,E1206     
ACS_REDIRECT,Processing error while provisioning Guest Checkout Token,E1703     
AUCNEGATIVE,0 | ,E501      
ACS_REDIRECT,,SSER001   
AUCNEGATIVE,50822 | Processing error while provisioning Guest Checkout Token,E231      
AUCNEGATIVE,acctNumber,E500      
3DS_METHOD_NEGATIVE,"INVALID_REQUEST | Value '535398xxxxxx1066' is invalid. The combination of currency, card type and transaction type is not supported by a Merchant Acquirer relationship",E501      
EVPOSITIVE,65 | Exceeds withdrawal count limit / Withdrawal count limit exceeded,E909      
3DS_METHOD_NEGATIVE,SERVER_FAILED | Please contact customer support quoting the support code.,E214      
AUCNEGATIVE,50822 | Processing error while provisioning Guest Checkout Token,E303      
3DS_CHALLENGE_NEGATIVE,101 | RReq is not available,E231      
EVNEGATIVE,Marking transaction as dropped - CS,E231      
,Ibibo Code NOT_AVAILABLE is not currently active on merchant,E6010     
AUCNEGATIVE,The order already exists in the database.,E1703     
AUCNEGATIVE,,E1601     
ALT_ID_PROV_ERROR,EA085|issuer_not_supported,EA085     
ACS_REDIRECT,Blc|0 | Blc|SUCCESS,E1206     
AUCNEGATIVE,Session timed out,E231      
ACS_REDIRECT,Invalid Input Parameter For Guest Checkout Transaction | UNKNOWN,E500      
AUCNEGATIVE,5003 | The order already exists in the database.,E1206     
REDIRECT,65 | Exceeds withdrawal count limit / Withdrawal count limit exceeded,E909      
AUCNEGATIVE,Message Version Number received is not valid for the receiving component.,E500      
ACS_REDIRECT,DECLINED (stolen),E1703     
3DS_METHOD_POSITIVE,AUTHENTICATION_FAILED | Cardholder did not complete authentication | Transaction Error,E202      
AUCNEGATIVE,Invalid Otp,SSER001   
3DS_CHALLENGE_NEGATIVE,408 | PrqFrq request timedout!,E712      
3DS_METHOD_POSITIVE,61 | Exceeds withdrawal amount limit(s) / Withdrawal amount limit exc | Decline - The card has reached the credit limit.,E000      
AUCNEGATIVE,101 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E1633     
3DS_CHALLENGE_NEGATIVE,TRANSACTION_INVALID,E501      
EVERROR,50021 | Bad AcquiringBank configured for merchant_id(50756239) in pg_instance_id(37887779)!,E205      
REDIRECT,0 | OTP Generated Successfully,
3DS_METHOD_POSITIVE,,
AUCNEGATIVE,DECLINED (cardholder not allowed),E1703     
MER_025|No Transaction exists with given merchant id : MER0000005118097,PG filtering based on KTB Bin Routing ,E803      
AUCNEGATIVE,,E1608     
AUCNEGATIVE,QR,E501      
AUCNEGATIVE,203 | Data element not in the required format.,E335      
EVERROR,10024 | Card Information not found,E1101     
3DS_CHALLENGE_NEGATIVE,"PG_FAILED | Attempts Processing Performed. Authentication could not be completed, but a proof of authentication attempt (CAVV) was generated.",E316      
,Transaction timed out,E1703     
EVNEGATIVE,101 | Message not recognised,E335      
AUCPOSITIVE,Marking transaction as dropped - CSW,E1206     
AUCNEGATIVE,N:93:Transaction cannot be completed,E231      
AUCNEGATIVE,,E2100     
,N:-5110:Cardholder did not return from Rupay,E231      
,PG filtering based on Card SI PGs ,E501      
3DS_METHOD_NEGATIVE,3DS206 | ,E500      
AUCNEGATIVE,T8 | Invalid account,E303      
EVNEGATIVE,922 | ACS technical issue,E335      
3DS_CHALLENGE_NEGATIVE,983 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E317      
AUCNEGATIVE,Message not recognised,E500      
ACS_REDIRECT,,E000      
3DS_CHALLENGE_NEGATIVE,901 | Card authentication failed,E1206     
AUCNEGATIVE,57 | Transaction not permitted to issuer/cardholder,E231      
ACS_REDIRECT,Json processing,E000      
ALT_ID_PROV_ERROR,"EA080|Exceeded configured rate limit for the API, please try again later",EA080     
AUCERROR,"10024 | Unable to process the transaction, Invalid Response from NPCI",E303      
ACS_REDIRECT,14 | Invalid card number,E1206     
3DS_METHOD_POSITIVE,,E1611     
3DS_METHOD_NEGATIVE,"INVALID_REQUEST | Value '478896xxxxxx8844' is invalid. The combination of currency, card type and transaction type is not supported by a Merchant Acquirer relationship",E501      
AUCNEGATIVE,82 | No security module,E313      
AUCNEGATIVE,"INVALID_REQUEST | Value '2741401246...1815942193' is invalid. A transaction with this transaction ID has already been processed but the request parameters do not match. To process a new transaction for this order, the transaction.id must be unique for the",E202      
3DS_METHOD_POSITIVE,000 | Blc|SUCCESS,E1602     
AUCNEGATIVE,N:51:NON SUFFICIENT FUNDS,E231      
ACS_REDIRECT,P9 | Enter lesser amount,E231      
AUCNEGATIVE,87 | UNKNOWN,E1633     
EVERROR,15093 | violation,E205      
3DS_METHOD_POSITIVE,Message Received Invalid,E500      
VERERROR,Verification | failed | Key encData not present,E202      
3DS_METHOD_NEGATIVE,Blc|204 | Blc|Services are unavailable. Please try again later.,E204      
3DS_VERIFICATION_NEGATIVE,,E231      
3DS_METHOD_NEGATIVE,"INVALID_REQUEST | Value '433187xxxxxx9523' is invalid. The combination of currency, card type and transaction type is not supported by a Merchant Acquirer relationship",E501      
AUCNEGATIVE,55 | Incorrect personal identification number,E710      
ACS_REDIRECT,INVALID_REQUEST | Invalid credentials.,E202      
AUCNEGATIVE,305 | Transaction Data Not Valid,E335      
REDIRECT,N:-50822:Processing error while provisioning Guest Checkout Token,E231      
3DS_METHOD_NEGATIVE,,E219      
3DS_VERIFICATION_NEGATIVE,E303 | SUCCESS,E000      
3DS_CHALLENGE_NEGATIVE,402 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E317      
REDIRECT,Invalid amount,E1703     
REDIRECT,GW00555 | UNKNOWN,E231      
REDIRECT,Compliance error code for LMM,E1703     
3DS_CHALLENGE_NEGATIVE,PROCEED,E317      
,Ibibo Code NULL is not currently active on merchant,E6010     
REDIRECT,Rupay authentication error,E1703     
,UNKNOWN,E500      
ALT_ID_PROV_ERROR,EA03 | Technical error. Please try again,EA03      
AUCNEGATIVE,?:waiting authentication,E231      
,EXPIRED CARD,E1703     
REDIRECT,000 | Blc|SUCCESS,E502      
REDIRECT,N:93:Transaction cannot be completed,E1206     
AUCNEGATIVE,"Blc|202 | Blc|Invalid threeDSServerTransID, not found in transaction",E335      
,Issuer not available,E1703     
EVNEGATIVE, | ,E500      
ACS_REDIRECT,?:waiting authentication,E1206     
REDIRECT,N:-5110:Cardholder did not return from Rupay,E231      
3DS_METHOD_NEGATIVE,Blc|204 | Blc|INVALID_REQUEST::Value '529153xxxxxx2028' is invalid. Invalid card number,E204      
ACS_REDIRECT,Invalid transaction,E1703     
REDIRECT,,E502      
AUCNEGATIVE,404 | Unkonwn Error.,E207      
,N:-BEPG-0000017:Issuer authentication failure,E231      
3DS_CHALLENGE_POSITIVE,Marking transaction as dropped - CSW,E000      
REDIRECT,,E503      
AUCNEGATIVE,INVALID_REQUEST|AUTHENTICATION_INVALID_DATA_ERROR,E915      
3DS_CHALLENGE_NEGATIVE,51 | Retry the transaction later,E335      
EVPOSITIVE,Marking transaction as dropped - CSW,E231      
AUCNEGATIVE,UNKNOWN_ERROR,E1101     
3DS_METHOD_POSITIVE,AUTHORIZED,E000      
AUCNEGATIVE,Wrong transaction state,E000      
3DS_METHOD_NEGATIVE,INVALID_REQUEST | Value '220432xxxxxx6229' is invalid. value: 220432xxxxxx6229 - reason: Invalid card number,E501      
AUCNEGATIVE,901 | INVALID_TRANSACTION_TYPE,E231      
AUCNEGATIVE,System Connection Failure,E500      
AUCNEGATIVE,101 | Message not recognised,E335      
3DS_VERIFICATION_NEGATIVE,CURL_CALL_FAILURE,E231      
,Compliance error code for LMM,E1703     
AUCNEGATIVE,0 | OTP Generated Successfully,10004     
EVNEGATIVE,10004 | Invalid response from npci,E1617     
EVNEGATIVE,10004 | Something went wrong in generate otp request,E1617     
REDIRECT,Pick-up,E1703     
AUCNEGATIVE,SERVER_FAILED | Please contact customer support quoting the support code.,E207      
AUCNEGATIVE,56 | No card record,E4346     
3DS_VERIFICATION_NEGATIVE,Suspected fraud,E1633     
REDIRECT,70 | PIN data required,E1629     
3DS_CHALLENGE_NEGATIVE,408 | Blc|Unknown Error. Transaction Failed. Please try again later.,E317      
REDIRECT,phonepe,E507      
AUCNEGATIVE,Permanent system failure.,E500      
,N:51:NON SUFFICIENT FUNDS,E231      
,Ibibo Code UNKN is not currently active on merchant,E6010     
REDIRECT,04 | Pick Up Card,E310      
ACS_REDIRECT,googlepay,E501      
3DS_CHALLENGE_NEGATIVE,000 | Success,E231      
ACS_REDIRECT,No Error,E000      
AUCNEGATIVE,N:-BEPG-0000017:Issuer authentication failure,E231      
,,E6005     
REDIRECT,N:-BEPG-0000006:Rupay check bin error,E231      
AUCNEGATIVE,404 | Unkonwn Error.,E231      
AUCNEGATIVE,983 | INVALID_TRANSACTION_TYPE,E207      
3DS_CHALLENGE_NEGATIVE,983 | Declined by DS - DS dropped reason code received from ACS,E202      
REDIRECT,DECLINED (lost card),E1703     
,Expired card,E1703     
ALT_ID_PROV_ERROR,EA081|The network token provision request contained data that could not be verified,E000      
AUCNEGATIVE,50716 | Transaction declined. 3D Secure authentication failed.,E1206     
AUCNEGATIVE,,SSER001   
AUCNEGATIVE,96 | SYSTEM ERROR,E231      
REDIRECT,0 | ,
,N:91:Issuer not available,E231      
AUCNEGATIVE,,E502      
AUCNEGATIVE,402 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E317      
AUCNEGATIVE,Cardholder Account Number is not in a range belonging to Issuer,E500      
3DS_CHALLENGE_NEGATIVE,T5 | Check for New information before retry,E335      
AUCNEGATIVE,5003 | The order already exists in the database.,E303      
EVPOSITIVE,62 | Restricted card,E1206     
AUCNEGATIVE,"INVALID_REQUEST | Value '2763526091...3072537053' is invalid. A transaction with this transaction ID has already been processed but the request parameters do not match. To process a new transaction for this order, the transaction.id must be unique for the",E202      
REDIRECT,Blc|0 | Blc|SUCCESS,E501      
